_id,start_time,end_time,location_id,clip
"""6339ed421bb12aca18a8faf3""","10/2/2022, 3:56:57 PM","10/2/2022, 3:57:54 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664740617.mp4"")"
"""6339fa251bb12aca18a8fb01""","10/2/2022, 4:50:22 PM","10/2/2022, 4:52:53 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664743822.mp4"")"
"""6339fb791bb12aca18a8fb03""","10/2/2022, 4:57:45 PM","10/2/2022, 4:58:33 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664744265.mp4"")"
"""633a09231bb12aca18a8fb14""","10/2/2022, 5:55:57 PM","10/2/2022, 5:56:51 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664747757.mp4"")"
"""633a0a911bb12aca18a8fb16""","10/2/2022, 5:59:59 PM","10/2/2022, 6:02:57 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664747999.mp4"")"
"""633a15f81bb12aca18a8fb2e""","10/2/2022, 6:48:38 PM","10/2/2022, 6:51:36 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664750918.mp4"")"
"""633a180c1bb12aca18a8fb33""","10/2/2022, 6:59:39 PM","10/2/2022, 7:00:27 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664751579.mp4"")"
"""633a23161bb12aca18a8fb41""","10/2/2022, 7:44:59 PM","10/2/2022, 7:47:33 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664754299.mp4"")"
"""633a253d1bb12aca18a8fb45""","10/2/2022, 7:56:04 PM","10/2/2022, 7:56:45 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664754964.mp4"")"
"""633a31fc1bb12aca18a8fb53""","10/2/2022, 8:48:25 PM","10/2/2022, 8:51:07 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664758105.mp4"")"
"""633a33191bb12aca18a8fb56""","10/2/2022, 8:55:03 PM","10/2/2022, 8:55:53 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664758503.mp4"")"
"""633a41731bb12aca18a8fb65""","10/2/2022, 9:54:26 PM","10/2/2022, 9:57:07 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664762066.mp4"")"
"""633a4ec51bb12aca18a8fb72""","10/2/2022, 10:51:12 PM","10/2/2022, 10:53:57 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664765472.mp4"")"
"""633a4f701bb12aca18a8fb75""","10/2/2022, 10:55:55 PM","10/2/2022, 10:56:48 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664765755.mp4"")"
"""633a5dc81bb12aca18a8fb84""","10/2/2022, 11:55:20 PM","10/2/2022, 11:58:00 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664769320.mp4"")"
"""633a634a1bb12aca18a8fb89""","10/3/2022, 12:20:51 AM","10/3/2022, 12:21:30 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664770851.mp4"")"
"""633a68c41bb12aca18a8fb8e""","10/3/2022, 12:44:11 AM","10/3/2022, 12:44:52 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664772251.mp4"")"
"""633a6fc71bb12aca18a8fb97""","10/3/2022, 1:12:15 AM","10/3/2022, 1:14:47 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664773935.mp4"")"
"""633a73c01bb12aca18a8fb9a""","10/3/2022, 1:31:09 AM","10/3/2022, 1:31:44 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664775069.mp4"")"
"""633aa7d01bb12aca18a8fbaa""","10/3/2022, 5:12:46 AM","10/3/2022, 5:13:52 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664788366.mp4"")"
"""633aaac31bb12aca18a8fbaf""","10/3/2022, 5:25:45 AM","10/3/2022, 5:26:26 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664789145.mp4"")"
"""633aaad71bb12aca18a8fbb0""","10/3/2022, 5:26:32 AM","10/3/2022, 5:26:47 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664789192.mp4"")"
"""633aae8f1bb12aca18a8fbb6""","10/3/2022, 5:41:43 AM","10/3/2022, 5:42:39 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664790103.mp4"")"
"""633ab2c51bb12aca18a8fbbc""","10/3/2022, 5:59:10 AM","10/3/2022, 6:00:37 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664791150.mp4"")"
"""633ab3fd1bb12aca18a8fbbd""","10/3/2022, 6:05:26 AM","10/3/2022, 6:05:49 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664791526.mp4"")"
